"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13494","Login with credentials -- @1.1 ","","Mon Sep 16 19:00:45 CST 2024","passed","Mon Sep 16 19:00:58 CST 2024","","","",""
"","6646","Register without providing any details","","Mon Sep 16 19:02:04 CST 2024","passed","Mon Sep 16 19:02:11 CST 2024","","","",""
"","5597","Search without entering any product","","Mon Sep 16 19:02:22 CST 2024","passed","Mon Sep 16 19:02:28 CST 2024","","","",""
"","6729","Login with credentials -- @1.3 ","","Mon Sep 16 19:01:05 CST 2024","passed","Mon Sep 16 19:01:12 CST 2024","","","",""
"","8264","Register with mandatory fields","","Mon Sep 16 19:01:40 CST 2024","passed","Mon Sep 16 19:01:49 CST 2024","","","",""
"","7741","Login with invalid email and valid password","","Mon Sep 16 19:01:12 CST 2024","passed","Mon Sep 16 19:01:20 CST 2024","","","",""
"","6997","Login without entering any credentials","","Mon Sep 16 19:01:33 CST 2024","passed","Mon Sep 16 19:01:40 CST 2024","","","",""
"","5515","Search for a valid product","","Mon Sep 16 19:02:11 CST 2024","passed","Mon Sep 16 19:02:17 CST 2024","","","",""
"","8546","Register with a duplicate email address","","Mon Sep 16 19:01:56 CST 2024","passed","Mon Sep 16 19:02:04 CST 2024","","","",""
"","6865","Login with valid email and invalid password","","Mon Sep 16 19:01:20 CST 2024","passed","Mon Sep 16 19:01:27 CST 2024","","","",""
"","7055","Register with all fields","","Mon Sep 16 19:01:49 CST 2024","passed","Mon Sep 16 19:01:56 CST 2024","","","",""
"","5459","Search for an invalid product","","Mon Sep 16 19:02:17 CST 2024","passed","Mon Sep 16 19:02:22 CST 2024","","","",""
"","7266","Login with credentials -- @1.2 ","","Mon Sep 16 19:00:58 CST 2024","passed","Mon Sep 16 19:01:05 CST 2024","","","",""
"","6721","Login with invalid credentials","","Mon Sep 16 19:01:27 CST 2024","passed","Mon Sep 16 19:01:33 CST 2024","","","",""
